Review,Rating
It's very good car like so happy buy car lko is very,5
Tata punch best budget car in suv low cost low maintenance,3.7
Super for middle class people and safety secure as well best price,4
It's very good car like so happy buy car lko is very,3.7
I am a owner of tata punch adventure.I using this suv from last 1 month.It is safe to drive and have good mileage.Security features are too good.Overall i want to give 5 star for tata punch.,5
My first car safety car overall nice car,3.7
It�s best n very classy car best for family best buy,4
Tata punch is best for price & value of money.Very good experience in this car.,3.7
This is the best car in this budget and tata always stand with safety we all know.,0
It's very good car like so happy buy car lko is very,0
Tata punch best budget car in suv low cost low maintenance,4
Super for middle class people and safety secure as well best price,0
It's very good car like so happy buy car lko is very,0
I am a owner of tata punch adventure.I using this suv from last 1 month.It is safe to drive and have good mileage.Security features are too good.Overall i want to give 5 star for tata punch.,0
My first car safety car overall nice car,0
It�s best n very classy car best for family best buy,4.3
Tata punch is best for price & value of money.Very good experience in this car.,0
This is the best car in this budget and tata always stand with safety we all know.,5
"The car is wonderful.Though it feels sometimes that it would be great if there would be an option of turbo charged engine.But overall, It gives good ride experience.The comfort especially at rear seat is superb.It runs very smooth and the steering is very much precise.I have even drove the vehicle on hills almost 800 kilometers including steep climb and sharp turns and it performed really well.The ...read more",5
"I bought punch adventure three months back and first service is over.I am fully satisfied on the driving comfort, Engine performance and interiors.I am getting a decent mileage of 19.3 on highway and 15-16 in city ride.In my opinion it is the best budget friendly suv for the family and on driving never feel underpowered as i am not driving racing cars or high budget suv's.",3.7
Attractive looking with attractive price and smooth engine voice,4
I brought tata punch last month.Over all excellent performance.Best cars in a low budget.Thanks.,3.7
"Purchased tata punch 1 month ago, Really nice car, Supreb performance, Getting average of 19-21 km.And comfortable seating.",0
It's very good car like so happy buy car lko is very,0
Tata punch best budget car in suv low cost low maintenance,4
Super for middle class people and safety secure as well best price,0
It's very good car like so happy buy car lko is very,0
I am a owner of tata punch adventure.I using this suv from last 1 month.It is safe to drive and have good mileage.Security features are too good.Overall i want to give 5 star for tata punch.,0
My first car safety car overall nice car,0
It�s best n very classy car best for family best buy,4.3
Tata punch is best for price & value of money.Very good experience in this car.,0
This is the best car in this budget and tata always stand with safety we all know.,5
"The car is wonderful.Though it feels sometimes that it would be great if there would be an option of turbo charged engine.But overall, It gives good ride experience.The comfort especially at rear seat is superb.It runs very smooth and the steering is very much precise.I have even drove the vehicle on hills almost 800 kilometers including steep climb and sharp turns and it performed really well.The ...read more",0
"I bought punch adventure three months back and first service is over.I am fully satisfied on the driving comfort, Engine performance and interiors.I am getting a decent mileage of 19.3 on highway and 15-16 in city ride.In my opinion it is the best budget friendly suv for the family and on driving never feel underpowered as i am not driving racing cars or high budget suv's.",0
Attractive looking with attractive price and smooth engine voice,5
I brought tata punch last month.Over all excellent performance.Best cars in a low budget.Thanks.,0
"Purchased tata punch 1 month ago, Really nice car, Supreb performance, Getting average of 19-21 km.And comfortable seating.",0
The car is vary nice and heavy car tha sefti nice tata company is indian flavour company,0
"Such a wonderful experience with tata punch, Like tata super fast.This car is very smooth and comfortable.Engine voice is very smooth.A and the look is awesome also colour black.",0
This car can get more safety rating than other in this range.,0
It's a great experience and i have a decent mileage in city routes.Overall it's a good car.,4.3
Light is very bad.Night time it is difficult to drive the tata punch car.Should be good light.Need good mileage.,0
We want tata company car with end of and start of next year in good quality,5
Tata is best for safety and look suv it's a good car for safety and complete your suv dream,3.7
Wonderful car best car car body was so strong i love this car car memtenes is lo djjdndndmdmdndndndn,4
"Excellent driveing, You will feel like a king while sitting in it",3.7
I am happy with my tata punch car.I had bought tata punch creative in jan 2022 and till now i have drive 8k km with 0 problem i drive highest 800 km in one day.I have not found any weak point of this car.And average is 18 to 20 km/l thanks to tata for make this super car with trust of 5 star safety ratings.,0
It's very good car like so happy buy car lko is very,0
Tata punch best budget car in suv low cost low maintenance,4
Super for middle class people and safety secure as well best price,0
It's very good car like so happy buy car lko is very,0
I am a owner of tata punch adventure.I using this suv from last 1 month.It is safe to drive and have good mileage.Security features are too good.Overall i want to give 5 star for tata punch.,0
My first car safety car overall nice car,0
It�s best n very classy car best for family best buy,4.3
Tata punch is best for price & value of money.Very good experience in this car.,0
This is the best car in this budget and tata always stand with safety we all know.,5
"The car is wonderful.Though it feels sometimes that it would be great if there would be an option of turbo charged engine.But overall, It gives good ride experience.The comfort especially at rear seat is superb.It runs very smooth and the steering is very much precise.I have even drove the vehicle on hills almost 800 kilometers including steep climb and sharp turns and it performed really well.The ...read more",0
"I bought punch adventure three months back and first service is over.I am fully satisfied on the driving comfort, Engine performance and interiors.I am getting a decent mileage of 19.3 on highway and 15-16 in city ride.In my opinion it is the best budget friendly suv for the family and on driving never feel underpowered as i am not driving racing cars or high budget suv's.",0
Attractive looking with attractive price and smooth engine voice,5
I brought tata punch last month.Over all excellent performance.Best cars in a low budget.Thanks.,0
